subcategory,countryISO3,region_code,population,hoursPerDayCombined,uncertaintyCombined,dataStatus,dataStatusEconomic
active_rec,ABW,AM_C,101665.0,0.46,0.10062422984757431,interpolated,observed
adultcare,ABW,AM_C,101665.0,0.47,0.04452763009626755,interpolated,observed
allocation,ABW,AM_C,101665.0,1.54,0.13039501687790178,interpolated,observed
buildings,ABW,AM_C,101665.0,0.22,0.01386789731616375,interpolated,observed
childcare,ABW,AM_C,101665.0,0.7,0.07098434543021044,interpolated,observed
education_research,ABW,AM_C,101665.0,1.22,0.31053287732867507,interpolated,observed
energy,ABW,AM_C,101665.0,0.05,0.003596790007962841,interpolated,observed
growth_collection,ABW,AM_C,101665.0,0.17,0.02687976510331488,interpolated,observed
hygiene_grooming,ABW,AM_C,101665.0,0.93,3.0208712593909075,interpolated,observed
infrastructure,ABW,AM_C,101665.0,0.07,0.0007945834241719482,interpolated,observed
inhabited,ABW,AM_C,101665.0,1.41,0.21175147137401262,interpolated,observed
interactive,ABW,AM_C,101665.0,1.28,0.571126721903284,interpolated,observed
material,ABW,AM_C,101665.0,0.03,0.002071594708935142,interpolated,observed
meals,ABW,AM_C,101665.0,1.27,3.2601218279034234,interpolated,observed
moving_people,ABW,AM_C,101665.0,0.73,0.5989549784482262,interpolated,observed
moving_artifacts,ABW,AM_C,101665.0,0.12,0.039518265629640566,interpolated,observed
passive,ABW,AM_C,101665.0,2.12,1.1261164583519723,interpolated,observed
preparation,ABW,AM_C,101665.0,1.47,0.23763034562920782,interpolated,observed
processing,ABW,AM_C,101665.0,0.0,0.0075264607911538,interpolated,observed
religious,ABW,AM_C,101665.0,0.23,0.1533568594404754,interpolated,observed
sleep,ABW,AM_C,101665.0,8.21,3.8838580704242074,interpolated,observed
social,ABW,AM_C,101665.0,1.0,0.9608902532700082,interpolated,observed
artifacts,ABW,AM_C,101665.0,0.25,0.01551531761936432,interpolated,observed
waste,ABW,AM_C,101665.0,0.02,0.000750728183834718,interpolated,observed
active_rec,AFG,AS_S,36296111.0,0.23,0.0986891342010895,interpolated,observed
adultcare,AFG,AS_S,36296111.0,0.06,0.04361234163952587,interpolated,observed
allocation,AFG,AS_S,36296111.0,0.74,0.21059915297904586,interpolated,observed
buildings,AFG,AS_S,36296111.0,0.2,0.019169532233095747,interpolated,observed
childcare,AFG,AS_S,36296111.0,0.27,0.06265228229261695,interpolated,observed
education_research,AFG,AS_S,36296111.0,1.33,0.28319618125468565,interpolated,observed
energy,AFG,AS_S,36296111.0,0.02,0.0021921920270491007,interpolated,observed
growth_collection,AFG,AS_S,36296111.0,0.88,0.15736248498884797,interpolated,observed
hygiene_grooming,AFG,AS_S,36296111.0,1.2,0.10438482952116933,interpolated,observed
infrastructure,AFG,AS_S,36296111.0,0.07,0.0013408846401609703,interpolated,observed
inhabited,AFG,AS_S,36296111.0,0.68,0.1810142854669486,interpolated,observed
interactive,AFG,AS_S,36296111.0,0.62,0.3458969290788429,interpolated,observed
material,AFG,AS_S,36296111.0,0.04,0.0011785790383365175,interpolated,observed
meals,AFG,AS_S,36296111.0,1.62,0.3453722402778969,interpolated,observed
moving_people,AFG,AS_S,36296111.0,0.75,0.12083658400016849,interpolated,observed
moving_artifacts,AFG,AS_S,36296111.0,0.25,0.04214013834810902,interpolated,observed
passive,AFG,AS_S,36296111.0,2.05,0.894595688220555,interpolated,observed
preparation,AFG,AS_S,36296111.0,1.14,0.185846162341059,interpolated,observed
processing,AFG,AS_S,36296111.0,0.1,0.006611104578167089,interpolated,observed
religious,AFG,AS_S,36296111.0,0.29,0.15290740322381108,interpolated,observed
sleep,AFG,AS_S,36296111.0,9.49,0.9778074442429884,interpolated,observed
social,AFG,AS_S,36296111.0,1.8,0.5904755711509583,interpolated,observed
artifacts,AFG,AS_S,36296111.0,0.18,0.019464746627874605,interpolated,observed
waste,AFG,AS_S,36296111.0,0.0,3.610323978078285e-05,interpolated,observed
active_rec,AGO,AF_M,31825299.0,0.44,0.09982094144370052,interpolated,interpolated
adultcare,AGO,AF_M,31825299.0,0.05,0.062322777394987997,interpolated,interpolated
allocation,AGO,AF_M,31825299.0,0.49,0.32525596672528156,interpolated,interpolated
buildings,AGO,AF_M,31825299.0,0.03,0.08470887227544933,interpolated,interpolated
childcare,AGO,AF_M,31825299.0,0.27,0.0635982296062593,interpolated,interpolated
education_research,AGO,AF_M,31825299.0,1.95,0.31870429108437115,interpolated,interpolated
energy,AGO,AF_M,31825299.0,0.08,0.011242393782606698,interpolated,interpolated
growth_collection,AGO,AF_M,31825299.0,1.06,0.5324487148124554,interpolated,interpolated
hygiene_grooming,AGO,AF_M,31825299.0,0.82,0.10508557428184531,interpolated,interpolated
infrastructure,AGO,AF_M,31825299.0,0.02,0.013994506891351836,interpolated,interpolated
