subcategory,countryISO3,region_code,population,hoursPerDayCombined,uncertaintyCombined,dataStatus,dataStatusEconomic,country_name,gdp_per_capita_2023_current_usd,world_bank_income_level,economic_status
active_rec,ABW,AM_C,101665.0,0.46,0.10062422984757431,interpolated,observed,Aruba,35718.7531191634,High income,Developed
adultcare,ABW,AM_C,101665.0,0.47,0.04452763009626755,interpolated,observed,Aruba,35718.7531191634,High income,Developed
allocation,ABW,AM_C,101665.0,1.54,0.13039501687790178,interpolated,observed,Aruba,35718.7531191634,High income,Developed
buildings,ABW,AM_C,101665.0,0.22,0.01386789731616375,interpolated,observed,Aruba,35718.7531191634,High income,Developed
childcare,ABW,AM_C,101665.0,0.7,0.07098434543021044,interpolated,observed,Aruba,35718.7531191634,High income,Developed
education_research,ABW,AM_C,101665.0,1.22,0.31053287732867507,interpolated,observed,Aruba,35718.7531191634,High income,Developed
energy,ABW,AM_C,101665.0,0.05,0.003596790007962841,interpolated,observed,Aruba,35718.7531191634,High income,Developed
growth_collection,ABW,AM_C,101665.0,0.17,0.02687976510331488,interpolated,observed,Aruba,35718.7531191634,High income,Developed
hygiene_grooming,ABW,AM_C,101665.0,0.93,3.0208712593909075,interpolated,observed,Aruba,35718.7531191634,High income,Developed
infrastructure,ABW,AM_C,101665.0,0.07,0.0007945834241719482,interpolated,observed,Aruba,35718.7531191634,High income,Developed
inhabited,ABW,AM_C,101665.0,1.41,0.21175147137401262,interpolated,observed,Aruba,35718.7531191634,High income,Developed
interactive,ABW,AM_C,101665.0,1.28,0.571126721903284,interpolated,observed,Aruba,35718.7531191634,High income,Developed
material,ABW,AM_C,101665.0,0.03,0.002071594708935142,interpolated,observed,Aruba,35718.7531191634,High income,Developed
meals,ABW,AM_C,101665.0,1.27,3.2601218279034234,interpolated,observed,Aruba,35718.7531191634,High income,Developed
moving_people,ABW,AM_C,101665.0,0.73,0.5989549784482262,interpolated,observed,Aruba,35718.7531191634,High income,Developed
moving_artifacts,ABW,AM_C,101665.0,0.12,0.039518265629640566,interpolated,observed,Aruba,35718.7531191634,High income,Developed
passive,ABW,AM_C,101665.0,2.12,1.1261164583519723,interpolated,observed,Aruba,35718.7531191634,High income,Developed
preparation,ABW,AM_C,101665.0,1.47,0.23763034562920782,interpolated,observed,Aruba,35718.7531191634,High income,Developed
processing,ABW,AM_C,101665.0,0.0,0.0075264607911538,interpolated,observed,Aruba,35718.7531191634,High income,Developed
religious,ABW,AM_C,101665.0,0.23,0.1533568594404754,interpolated,observed,Aruba,35718.7531191634,High income,Developed
sleep,ABW,AM_C,101665.0,8.21,3.8838580704242074,interpolated,observed,Aruba,35718.7531191634,High income,Developed
social,ABW,AM_C,101665.0,1.0,0.9608902532700082,interpolated,observed,Aruba,35718.7531191634,High income,Developed
artifacts,ABW,AM_C,101665.0,0.25,0.01551531761936432,interpolated,observed,Aruba,35718.7531191634,High income,Developed
waste,ABW,AM_C,101665.0,0.02,0.000750728183834718,interpolated,observed,Aruba,35718.7531191634,High income,Developed
active_rec,AFG,AS_S,36296111.0,0.23,0.0986891342010895,interpolated,observed,Afghanistan,413.757894705303,Low income,Developing
